id,name,host_id,host_name,host_is_superhost,neighbourhood,price,beds,review_scores_rating
22690820,Remodeled Studio w/ Modern Touches & Views!,4430421,Landmark,f,San Francisco,79.0,1.0,3.0
38579889,Luxury Bay View 2 bedroom suite with hotel service,4214904,Julie & Patrick,f,San Francisco,799.0,2.0,5.0
44799193,Cozy Downtown Studio Across from Hilton SF,4430421,Landmark,f,San Francisco,73.0,1.0,5.0
940920973367426254,San Francisco Union Square Comfort & Tradition 2,501239744,Beresford Arms,f,San Francisco,195.0,3.0,4.64
851077764580157266,Entire Victorian Unit 3B/2B,480638296,Pao,f,San Francisco,399.0,3.0,4.7
3757966,Cozy Quiet Gorgeous Cole Valley Apt,17088398,Margaret,t,San Francisco,208.0,1.0,4.96
646224749845290990,La Monarca By Kasa | Near Union Square,88566861,Kasa,f,San Francisco,111.0,1.0,4.63
827603610728940835,San Francisco Union Square Comfort & Tradition 1,501239744,Beresford Arms,f,San Francisco,195.0,3.0,4.42
32613163,Stunning Views from Heart of San Francisco,124937590,Kelv,t,San Francisco,480.0,3.0,4.93
35466895,Family-Friendly Pop-Culture Haven in Heart of San Francisco,1867205,Julia,f,San Francisco,400.0,2.0,5.0
6154096,Luxury & Location: 5 Star San Francisco Experience,31868678,Cynthia,f,San Francisco,619.0,2.0,4.94
1020075768648183948,Serene Boutique Private Hotel Room In Downtown,542041520,Allen,f,San Francisco,150.0,1.0,5.0
1016026862216100175,Amazing Hotel In Central Downtown,542041520,Allen,f,San Francisco,150.0,1.0,5.0
15377893,Remodeled 2 Bedroom by Union Square!,4430421,Landmark,f,San Francisco,130.0,2.0,5.0
560165755972387675,La Monarca by Kasa | Hearing Accessible Unit,88566861,Kasa,f,San Francisco,155.0,1.0,4.59
38023230,2+BR Noe Valley Home w/ Garden,1097396,Danna,t,San Francisco,140.0,3.0,5.0
776239,Modern view 3+bed house above the Castro,4094089,Josh,t,San Francisco,590.0,5.0,4.96
21739662,Remodeled Studio Near Union Square!,4430421,Landmark,f,San Francisco,73.0,1.0,4.38
10684058,Tourists' delight -- business travelers' retreat!,55193130,Ted,t,San Francisco,612.0,4.0,4.94
45669885,Russian Hill Luxury Penthouse ORGANIC SANITATION,369987150,Andreas,f,San Francisco,550.0,2.0,4.8
1019179470018207674,Perfect place for short getaway,542041520,Allen,f,San Francisco,150.0,1.0,4.0
1006897274140620195,Charming Boutique Downtown Hotel Near Restaurants,542041520,Allen,f,San Francisco,150.0,1.0,5.0
21232003,Convenient/Remodeled Studio - Union Square,4430421,Landmark,f,San Francisco,74.0,1.0,4.0
51541759,Modern Studio Minimal Living Maximum Lifestyle 406,253575857,Dorel SF,t,San Francisco,74.0,1.0,4.88
43840355,La Monarca by Kasa | Weekly Stays Welcome!,88566861,Kasa,f,San Francisco,115.0,1.0,4.58
1019295417672953879,Comfy & walkable place at SF,542041520,Allen,f,San Francisco,150.0,1.0,4.25
48326392,"Blueground | SoMa, w/d, rooftop, nr muni",107434423,Blueground,f,San Francisco,161.0,1.0,4.67
45104646,Top Floor Downtown 2x1,4430421,Landmark,f,San Francisco,130.0,1.0,4.0
32404157,Condo in Nob Hill/ view of the Golden Gate Bridge,81165421,Clinton,f,San Francisco,500.0,1.0,4.93
1762727,Sunny Garden Studio in the Castro,237849,Jan,f,San Francisco,200.0,1.0,4.96
21490551,"Nice Russian Hill furnished Flat, Entire apartment",615007,D,f,San Francisco,95.0,1.0,4.4
1008142725939264692,Affordable stay at Downtown,520931919,Chris,f,San Francisco,150.0,1.0,5.0
1018791925951710727,Downtown SanFo Unique Boutique Hotel Stays,542041520,Allen,f,San Francisco,150.0,1.0,4.0
48733396,Renovated modern quiet w views & great location,15912402,Jee,f,San Francisco,148.0,1.0,5.0
1020085642199407509,Cozy And Charming Hotel Room In Central Downtown,542041520,Allen,f,San Francisco,150.0,1.0,4.0
47325832,"Blueground | Soma, parking, lounge, near bart",107434423,Blueground,f,San Francisco,192.0,1.0,4.0
31072911,Exceptional 3b2b Partial Villa with Panoramic View,25116424,Jacky,t,San Francisco,1000.0,4.0,4.87
1237143,Charming Upstairs Flat in Russian Hill,6745542,Susanna,f,San Francisco,411.0,2.0,4.71
708721776503129842,Studio Suite with Rooftop Lounge in San Francisco,476474223,Samantha,t,San Francisco,190.0,2.0,5.0
51765398,Modern Studio Minimal Living Maximum Lifestyle 307,253575857,Dorel SF,t,San Francisco,80.0,1.0,4.63
808638039907096338,Wyndham Canterbury Resort | 2BR/1BA Queen Suite,389697794,David,t,San Francisco,262.0,3.0,5.0
27432816,Union Square - 7 · Union Square - 7 · Wyndham Deluxe 1BR ApartHotel  #7 - Walk to DF!,5805679,Laurence,t,San Francisco,385.0,2.0,5.0
51790636,Modern Studio Minimal Living Maximum Lifestyle 205,253575857,Dorel SF,t,San Francisco,80.0,1.0,4.8
51433637,Modern Studio Minimal Living Maximum Lifestyle 304,253575857,Dorel SF,t,San Francisco,99.0,1.0,4.74
39952962,Studio steps from the ocean,219335040,Julita,t,San Francisco,119.0,1.0,4.92
981527425475502819,King room 1,480788402,Weizhen,f,San Francisco,53.0,2.0,4.88
639862665388963133,The Addison by Kasa | Modern Queen Studio,88566861,Kasa,f,San Francisco,148.0,1.0,4.75
45657042,"Peaceful Private Room B, 3 Min Walk To Ocean Beach",369884091,Sally,f,San Francisco,86.0,1.0,4.83
38933962,Beautiful Large Furnished Single Family Home,249436000,Daniela,t,San Francisco,425.0,4.0,4.24
633381229623997916,Luxury Designer Pad in the Heart of SF,41863496,Kruthika,t,San Francisco,387.0,4.0,4.94
53461380,Noteworthy Large Private Bedroom - Best Location,128917916,David,t,San Francisco,76.0,1.0,4.83
50488642,Spacious Private Room with Bathroom & Balcony,407298390,San Francisco,f,San Francisco,129.0,1.0,4.71
9488665,Spacious Victorian in Lower Haight,30597445,Cam,t,San Francisco,471.0,4.0,4.98
18037180,Gorgeous Serenity in the City with Views near Haight Ashbury Golden Gate Park,80544181,Chris,t,San Francisco,782.0,3.0,4.97
840755927573523585,"Modern Studio, Twin Peaks San Francisco",75100142,Henri,t,San Francisco,153.0,1.0,4.93
1351783,Private Room #1 and Breakfast Nook,7335923,Allen,f,San Francisco,47.0,1.0,4.8
409549,Bernal Village Small Town San Fran,684131,Mary,t,San Francisco,192.0,2.0,4.95
37750486,Private Guest Suite in Bustling Glen Park nr BART,40525697,Brian,t,San Francisco,120.0,1.0,4.92
615447382310622346,Bright Furnished Private Room in SF,456564615,Ruixi,t,San Francisco,56.0,1.0,4.9
947939807753536908,Luxurious full amenity 1BR Oasis w Bay Bridge View,70538134,Ebrahim,t,San Francisco,226.0,1.0,5.0
557530172127414144,Historical clocktower loft with brandnew furniture,10800264,Ada,t,San Francisco,139.0,1.0,4.86
523226839994774982,Spacious Modern Loft w/ Work Space Private Parking,9423452,Daniel,t,San Francisco,162.0,1.0,4.91
7547105,San Francisco By the Bay,34963239,Landy,t,San Francisco,135.0,2.0,4.9
25592607,C&C Room Next to GG Park,191314376,Jane,t,San Francisco,68.0,1.0,4.8
25434591,C&C Room near Golden Gate Park,191314376,Jane,t,San Francisco,68.0,2.0,4.78
880542232486267192,2 Bedroom Urban Oasis Near Golden Gate Park & More,276087621,Ben,t,San Francisco,141.0,2.0,4.87
52667277,Pleasant bedroom in Victorian home,421302835,Lorraine,t,San Francisco,81.0,1.0,4.97
11437509,"Cozy Victorian room, next to BART station!",1362550,Maria,t,San Francisco,75.0,1.0,4.86
2468125,DONATELLO near Moscone and Union Sq,11638127,Dave,f,San Francisco,219.0,1.0,4.93
8556635,Large 2 story home in SF,45040916,Alan,f,San Francisco,250.0,3.0,4.0
11242044,Nob Hill Bedroom #6,23719876,Yumi,f,San Francisco,120.0,0.0,4.81
10067187,1 Queen bedded room w/full bath,51659350,Wes,t,San Francisco,103.0,1.0,4.92
2562034,"Walk to SF State, Parking, Quiet Neighborhood",4940456,Christine,f,San Francisco,185.0,1.0,4.86
21827349,Charming 1 bedroom enjoy staying in Laurel Heights,13832870,International,t,San Francisco,123.0,1.0,4.29
6348742,Comfortable Noe Valley Apartment (30+ Days),17187571,Lloyd,t,San Francisco,115.0,1.0,4.89
6344096,"Large room, convenient location /w views, parking",3588642,Ambrish,t,San Francisco,90.0,1.0,4.88
893025275290458097,Spacious Dwelling in a Delightful Neighborhood,10722295,Ariel,t,San Francisco,91.0,1.0,5.0
678102133928742810,Upscale Urban Sanctuary - AIA Award-Winning,4037641,Rene,t,San Francisco,275.0,2.0,5.0
24670819,Beautiful studio in the heart of Haight-Ashbury,186454974,Young,t,San Francisco,190.0,2.0,4.89
23804136,Bright spacious apartment in the heart of the city,5244284,Julia,f,San Francisco,520.0,2.0,5.0
22768632,"New, modern and private Cole Valley Jr 1 bed",40963718,Blythe,t,San Francisco,100.0,1.0,4.91
48661006,Private Suite in the Center of Haight/Hayes Valley,2060012,Ari,t,San Francisco,89.0,1.0,4.33
15132100,404 - Clean Hotel Room in PERFECT LOCATION,93714995,Hotel,f,San Francisco,128.0,1.0,4.32
808637930736615075,Wyndham Canterbury Resort | 2BR/1BA Queen Suite,389697794,David,t,San Francisco,262.0,3.0,5.0
784011678365022473,Urban Retreat: 1BR Suite at Wyndham Canterbury,442029804,Live Suite,f,San Francisco,233.0,2.0,5.0
842150395554996807,Supersized Hidden Gem in San Francisco,497314341,Sarah,t,San Francisco,246.0,1.0,4.83
1077528144984148442,Comfy room cheapest rate at SF,520931919,Chris,f,San Francisco,150.0,1.0,4.0
891528866758730368,3BR Family Home in Cole Valley,190138,Anna,f,San Francisco,395.0,3.0,5.0
757447047903551060,Rooftop Oasis,5017010,Daniel,f,San Francisco,86.0,2.0,5.0
43926564,1 BR Suite + Private Rooftop + Gym l Dogpatch,248285981,The Landing,f,San Francisco,140.0,1.0,5.0
678929923909197387,Luxury Condo w. 24-hr Security at Best Location,182963199,Fareday,t,San Francisco,230.0,0.0,5.0
44757611,"1 BR Suite, Gym + Rooftop Terrace I Dogpatch SF",248285981,The Landing,f,San Francisco,125.0,1.0,4.86
30803785,Union Square - 9 · Union Square - 9 · Wyndham Deluxe 1BR ApartHotel  #9 - Walk to DF!,5805679,Laurence,t,San Francisco,385.0,2.0,5.0
993541662938742689,Sunny Noe Condo near Dolores,474204057,Shinyoung,f,San Francisco,364.0,2.0,5.0
750237645876664725,Rooms in Best Neighborhood of San Francisco City,43225261,Syed Hassan,f,San Francisco,1108.0,1.0,4.17
238204,Spacious Getaway Near the Ocean,1248132,"Jennifer, Maria , Andrew",t,San Francisco,131.0,2.0,4.76
23963479,Top Floor - Corner Downtown Studio w/ Views,4430421,Landmark,f,San Francisco,76.0,1.0,3.5
715316360469151402,Telegraph Hill Shangri-La,59373857,Donald,t,San Francisco,697.0,3.0,5.0
21632686,Renovated 1x1 in Heart of SF - Convenience!,4430421,Landmark,f,San Francisco,104.0,2.0,4.2
747829373631322307,3bd Close to BART & Glen Park,485211304,Sumita,t,San Francisco,160.0,3.0,5.0
49780180,Luxurious and Modern Mission District Stunner!,189845056,Mili,f,San Francisco,199.0,3.0,5.0
53546008,"Comfy, modern & large 3Bd condo by GG park & UCSF",6875334,Anuranjan,f,San Francisco,250.0,3.0,4.5
39106572,Castro Mid-Century Home,34563933,Nathaniel,t,San Francisco,675.0,2.0,5.0
2483759,"Centrally-located, Walk Anywhere!",12707660,Rob,t,San Francisco,85.0,1.0,4.8
6329731,Love San Francisco - No Cleaning Fee!,15357373,Ding,t,San Francisco,140.0,1.0,4.88
1482730,Bernal Heights 2 BD near 101/280 & Cute Main St,289376,Jennifer,t,San Francisco,401.0,2.0,4.86
1051026867881754628,Home in Bernal Heights,145266053,Nelli,f,San Francisco,207.0,3.0,4.67
4576487,Cozy PVT. room in Richmond #2,23719876,Yumi,f,San Francisco,60.0,0.0,4.32
36904149,Noe Valley Two Guest Rooms With Bath,881000,Sharon,t,San Francisco,155.0,2.0,4.84
847382624795692315,Cozy Room in Central Pac Heights,15806938,Ryan,t,San Francisco,195.0,1.0,5.0
39226039,"Great Views, Great Location, Great Stay",287717511,Kim,t,San Francisco,69.0,1.0,4.78
18981477,"Pac Heights 3-rm suite. Private, safe, quiet.",6622828,Pam,t,San Francisco,282.0,2.0,4.99
48274411,E-Private Room (share bath) at Marina/Cow Hollow,157999191,Berlin,f,San Francisco,60.0,1.0,4.75
670930209044231649,City View Guest Suite With Indoor Fireplace,203823463,Arsema,t,San Francisco,130.0,1.0,5.0
597217887044868367,Private space and bath in the middle of SF!,279717,Angelo,t,San Francisco,79.0,1.0,5.0
4748287,Middle bedrm,1776403,Natallia,t,San Francisco,78.0,1.0,4.86
10455995,Private Room & Bath with Bay View!,1031577,Mark And Sarah,t,San Francisco,81.0,1.0,4.91
880087525726054616,Stunning 3-Bedroom house near to SF Airport,176026959,Juan Pablo,t,San Francisco,193.0,4.0,4.83
46780128,"Private Modern Retreat - Patio, Fire Pit, Hot Tub+",54810554,Elizabeth,f,San Francisco,259.0,1.0,4.77
49058232,Breathtaking Bay View!,395647147,Ruobing,t,San Francisco,650.0,4.0,4.95
50331188,2 Bedrooms private bath short walk to GG Park SF,404949384,Yee Hung,t,San Francisco,96.0,2.0,4.72
961061872028986516,Little-Oasis,132930417,Sheldon,t,San Francisco,247.0,2.0,4.92
923287154849422826,Bright and Sunny Mission Room,116993949,Anirudh,f,San Francisco,100.0,1.0,5.0
2062696,Ocean Beach Rm Classic 1906 Mission Victorian,4843181,Nancy,t,San Francisco,95.0,1.0,4.92
843488530733536587,Spacious and clean guest suite in hip Outer Sunset,2206837,Thang,t,San Francisco,141.0,1.0,4.83
762425439444066635,"Cheerful-2 bedrooms 1 bath, Portola, San Francisco",228792190,Wayne,f,San Francisco,125.0,3.0,4.58
49435568,Awesome View San Francisco !,5928633,Derek,t,San Francisco,395.0,3.0,5.0
9063798,Lower Haight/NOPA/Parking/Queen Bed/Private Bath,235023271,Franc,f,San Francisco,116.0,1.0,4.8
8272458,Perfect flat for travelers in peaceful Noe Valley,19364894,Rafe,t,San Francisco,148.0,1.0,4.88
690193375801701189,Friendly Stay in the Mission #3,8836914,Fei,t,San Francisco,60.0,0.0,4.88
2188976,Private 1BR in Mission Victorian,10135,Jason,t,San Francisco,79.0,1.0,4.73
32496599,Luxury garden suite at Ocean Beach and Golden Gate,174876683,Hank,t,San Francisco,190.0,1.0,4.99
15603503,Wonderful PVT. Room #3,23719876,Yumi,f,San Francisco,70.0,1.0,5.0
27701970,Soak Up Historic Charm at the Inner Sunset Getaway,1979036,Erin,t,San Francisco,200.0,2.0,4.91
25058782,Comfortable & Private 2BR/1BA Unit,95227196,Wendy,t,San Francisco,90.0,4.0,4.87
1056534560094927950,"""Market Street Hideaway: Ferry & SoMa Gateway""",546381794,Melanie,f,San Francisco,186.0,5.0,5.0
840184971889260209,Mi Casa Su Casa - Queen Bed Modern Tech Victorian,492170624,Jerry,t,San Francisco,97.0,1.0,5.0
635304024315850285,private bedroom in the the financial district!,88593294,Mohamed,f,San Francisco,300.0,1.0,5.0
32795849,Long term stay - Room in a cozy home,44800516,Alejandro (Alex),t,San Francisco,45.0,1.0,4.75
39059847,Private Bedroom in San Francisco nice neighborhood,222647651,Anthony,f,San Francisco,83.0,1.0,4.97
13083682,Traveler's Room,25056680,Lyle,t,San Francisco,100.0,1.0,4.97
115242,Telegraph Hill-Full Bay View.Updated 1br++.Parking,582450,Dawn,t,San Francisco,140.0,2.0,4.9
43335381,Bernal Heights Staycation,1197730,Trent,t,San Francisco,118.0,2.0,4.67
934254905344720840,Beautiful Mission Terrace Home,118600175,Jason,f,San Francisco,159.0,2.0,4.74
42203080,SAN FRANCISCO Conventions Accommodations,85132,Sanford,t,San Francisco,391.0,1.0,5.0
658628623211979640,Luxurious Private Bedroom in 1900 Victorian,21614409,Jamie,t,San Francisco,120.0,1.0,5.0
20575733,5932 - Cozy & Charming Bedroom with Private Bath,136131559,Cindy And Michelle,f,San Francisco,60.0,1.0,4.8
49212898,"Private Bedrm Near Sup.Market,Transp.,Restau. 9A1",9219277,Henry,t,San Francisco,48.0,1.0,5.0
20776056,Serene Condo in SF/North Beach/Telegraph Hillside,47925612,Chandra,t,San Francisco,149.0,2.0,4.81
891611786127344837,SF Beachside Home (Buenos Aires Room),514784474,Steed,t,San Francisco,69.0,1.0,5.0
4093967,"Garden Room, Magical Garden, Amazing Views + Tub!",21235826,Skate (And Jeannie),t,San Francisco,139.0,2.0,4.91
571881289485565713,"Comfortable, private queen room in the heart of SF",375566645,Mark,t,San Francisco,52.0,1.0,5.0
49255910,Convenient place Private bathroom SupMarket 9C1,9219277,Henry,t,San Francisco,48.0,1.0,5.0
784868473446852107,Historic Private Penthouse,20532420,Lauren,t,San Francisco,325.0,2.0,4.95
9261548,SPACIOUS & REMODELED VICTORIAN,21418699,Marisol,f,San Francisco,400.0,3.0,4.94
5005692,Nob Hill cozy single bedroom #1,23719876,Yumi,f,San Francisco,100.0,1.0,4.77
91957,Sunny SF Flat with 5*s,495796,Joy,f,San Francisco,225.0,2.0,4.73
44420807,Cozy and Charming Inner Richmond Stay,358753140,Lillian,f,San Francisco,109.0,2.0,4.75
52092566,"Comfy Big New 2bed1bath 2nd Flr, Bright, Parkings",421776359,Audrey,f,San Francisco,138.0,3.0,4.0
989020882902997680,Private Home in SF Near Freeway,538403285,Ariana,f,San Francisco,149.0,2.0,4.3
600784161213735620,Gorgeous Luxe 2B 2Ba PacificHts VIEWcondo Monthly,23255336,Karen,f,San Francisco,260.0,2.0,5.0
8005452,Noe Valley large 2 BR top floor Victorian,42265555,Eugene,f,San Francisco,142.0,2.0,4.79
34684071,Private Suite. Ocean/Purple Mattress/Self checkin,6064418,Sam & Binbin,t,San Francisco,100.0,2.0,4.95
4015985,SMART Downtown/ Soma Apartment,4407120,Parshuram,f,San Francisco,148.0,1.0,3.0
930539258556570508,Art Deco Mission Flat,23340043,Lyssette,f,San Francisco,179.0,1.0,5.0
37093943,Secluded North Beach Loft (434a),107141420,Thomas,f,San Francisco,112.0,2.0,4.86
35655221,#T45: Twin room in Lower Haight@ hacknsleep,267895362,Rocky,f,San Francisco,47.0,1.0,2.0
40984396,Registered Victorian 6 doors fr.  Zuckerbergs home,17018577,William,f,San Francisco,215.0,2.0,5.0
662411697486571864,Cozy studio in San Francisco,175886315,Sun Kok,t,San Francisco,69.0,1.0,4.93
28755204,Loft-style studio available for longer stays!,32140713,Julia,f,San Francisco,83.0,1.0,4.8
43916082,Beautiful 2b2b floor,284454905,Weizhen,t,San Francisco,120.0,2.0,4.92
7459988,City & Bay Bridge View 2BR Condo (avail April 13),1188065,Josh,t,San Francisco,163.0,3.0,4.92
51331893,Pacific Heights Studio! Peaceful & Light-filled Delight. Walkscore 97!,415729144,Laney,t,San Francisco,106.0,1.0,5.0
835668564220550985,Modern Chic Studio Near UCSF/SFSU/Golden Gate Park,22940085,Nancy,t,San Francisco,114.0,1.0,5.0
621013281538166083,Cozy 3-bedroom Getaway in Beautiful Bernal Heights,457791556,Louis,f,San Francisco,185.0,3.0,4.91
18546459,Room in penthouse,73070632,Tina,f,San Francisco,39.0,1.0,4.48
48916461,Cozy Masterbedroom with Priv Bath near UCSF,5977346,Melissa,t,San Francisco,70.0,1.0,4.67
10840593,Modern 2B zen getaway in Bernal Heights,6165979,Bill,t,San Francisco,146.0,4.0,4.69
739093190259164247,Lovely Garden View Room in 2 bedroom home.,483840645,Hester,f,San Francisco,54.0,1.0,4.67
47705504,Urban Oasis 1 bed 1bath - 1 block to Dolores Park,384297401,Sophia & Tyler,t,San Francisco,204.0,2.0,4.97
45814991,Cozy Garden Apartment in Sunny Mission District,3240477,Rick,f,San Francisco,105.0,2.0,4.65
22800066,Charming Edwardian Castro District 1BR Apartment,51158145,Heidi,t,San Francisco,135.0,1.0,5.0
50136259,Single Family Home with Nice Deck and Views,8873382,Douglas,f,San Francisco,160.0,2.0,5.0
21464833,Modernized Victorian Flat in NOPA,17578598,Christian And Jennice,t,San Francisco,170.0,4.0,4.93
14588279,33b Parkside cozy studio remodeled w/priv entrance,35352879,Aaron,t,San Francisco,58.0,1.0,4.79
799494249720781196,New Radiant Rooms near Ocean Beach!,1169998,May May,t,San Francisco,228.0,2.0,4.95
11122531,In-law unit in Noe Valley,3697779,Amanda,t,San Francisco,125.0,1.0,4.84
587056756001408799,Spacious 2BR 2BA Marina Flat,173606548,Alex,f,San Francisco,650.0,2.0,5.0
7343245,Elegant Victorian Italianate House in Pacific Heights,5694640,Susan,f,San Francisco,850.0,4.0,4.83
41941670,Light Filled Garden Guest Suite,11298613,Leslie,t,San Francisco,182.0,2.0,4.97
49016583,Historic 1924 Getaway in the Heart of Russian Hill,11026772,Kathy,t,San Francisco,245.0,3.0,5.0
1480015,Vintage Modern Victorian Apartment,7919343,Ben,t,San Francisco,265.0,2.0,4.98
42067678,Studio Suite in SF's luxurious Donatello,20704144,William,t,San Francisco,190.0,2.0,4.91
21281754,Easy Parking | Large Windows | Castro & Twin Peaks,337960,Cristina,t,San Francisco,283.0,2.0,4.97
8489712,The V - An elegant modern studio,44713280,The V,t,San Francisco,95.0,1.0,4.91
21623317,Cozy Remodeled Downtown Studio,4430421,Landmark,f,San Francisco,87.0,1.0,4.0
1212746,Big Flat/3 BR/2-Bath/Great District/Near Subway,1237762,Myles,f,San Francisco,600.0,3.0,4.87
3176619,Luxe Apartment in Edwardian Home with Rooftop Deck,16108021,Kiki,f,San Francisco,850.0,3.0,4.92
